Edge ID,Start Node,Start Name,Start Coordinates,End Node,End Name,End Coordinates,distance_km,system_ID,start_point_idx,end_point_idx
pt_54.3_-5.55-pt_54.221_-4.691,pt_54.3_-5.55,"Ballyhornan, nan","(-5.55, 54.3)",pt_54.221_-4.691,"Peel, nan","(-4.691, 54.221)",56.66342350455934,2000.24,63,64
pt_28.0457_-16.5372-pt_36.2756_-6.0877,pt_28.0457_-16.5372,"El Medano, nan","(-16.5372, 28.0457)",pt_36.2756_-6.0877,"Conil, Spain","(-6.0877, 36.2756)",1341.6457410896646,2000.25,65,66
pt_-33.0461_-71.6197-pt_-12.238906_-76.784493,pt_-33.0461_-71.6197,"Valparaiso, Chile","(-71.6197, -33.0461)",pt_-12.238906_-76.784493,"Lurin, Peru","(-76.7844926, -12.2389059)",2363.7056639186576,2000.27,67,68
pt_-12.238906_-76.784493-pt_8.9333_-79.55,pt_-12.238906_-76.784493,"Lurin, Peru","(-76.7844926, -12.2389059)",pt_8.9333_-79.55,"Amador, Panama","(-79.55, 8.9333)",2361.294099005416,2000.27,68,69
pt_-23.9608_-46.3339-pt_-36.4833_-56.7,pt_-23.9608_-46.3339,"Santos, Brazil","(-46.3339, -23.9608)",pt_-36.4833_-56.7,"Las Toninas, Argentina","(-56.7, -36.4833)",1707.150183103124,2000.27,70,71
pt_-22.9111_-43.2056-pt_-23.9608_-46.3339,pt_-22.9111_-43.2056,"Rio de Janeiro, Brazil","(-43.2056, -22.9111)",pt_-23.9608_-46.3339,"Santos, Brazil","(-46.3339, -23.9608)",340.1517645576587,2000.27,72,70
pt_-22.9111_-43.2056-pt_-3.7275_-38.5275,pt_-22.9111_-43.2056,"Rio de Janeiro, Brazil","(-43.2056, -22.9111)",pt_-3.7275_-38.5275,"Fortaleza, Brazil","(-38.5275, -3.7275)",2181.5547454323705,2000.27,72,73
pt_17.732_-64.748-pt_-3.7275_-38.5275,pt_17.732_-64.748,"St. Croix, nan","(-64.748, 17.732)",pt_-3.7275_-38.5275,"Fortaleza, Brazil","(-38.5275, -3.7275)",3731.289925660903,2000.27,74,73
pt_17.732_-64.748-pt_10.722251_-62.478069,pt_17.732_-64.748,"St. Croix, nan","(-64.748, 17.732)",pt_10.722251_-62.478069,"Puerto Viejo, Venezuela","(-62.4780691, 10.7222514)",813.2948481287106,2000.27,74,75
pt_56.0424_12.721-pt_56.036_12.6106,pt_56.0424_12.721,"Helsingborg, Sweden","(12.721, 56.0424)",pt_56.036_12.6106,"Helsingõr, Denmark","(12.6106, 56.036)",6.917985875951488,2000.28,76,77
pt_55.5448_12.9237-pt_55.5925_12.6722,pt_55.5448_12.9237,"Brunkeflostrand, Sweden","(12.9237, 55.5448)",pt_55.5925_12.6722,"Dragõr, Denmark","(12.6722, 55.5925)",16.731278874711663,2000.29,78,79
pt_41.3133_19.4458-pt_39.6239_19.82,pt_41.3133_19.4458,"Durres, Albania","(19.4458, 41.3133)",pt_39.6239_19.82,"Corfu, Greece","(19.82, 39.6239)",190.26183411731267,2000.2,80,81
pt_54.7136_-5.8075-pt_55.6352_-4.7896,pt_54.7136_-5.8075,"Carrickfergus, Great Britain","(-5.8075, 54.7136)",pt_55.6352_-4.7896,"Saltcoats, Great Britain","(-4.7896, 55.6352)",121.37614917570161,2000.30,82,83
pt_53.3497_-6.2603-pt_53.8167_-3.05,pt_53.3497_-6.2603,"Dublin , Ireland","(-6.2603, 53.3497)",pt_53.8167_-3.05,"Blackpool, Great Britain","(-3.05, 53.8167)",218.854762201473,2000.31,84,85
pt_52.1667_-6.5833-pt_51.5467_-4.2122,pt_52.1667_-6.5833,"Kilmore Quay, Ireland","(-6.5833, 52.1667)",pt_51.5467_-4.2122,"Port Eynon Beach, Great Britain","(-4.2122, 51.5467)",177.31899017718587,2000.32,86,87
pt_-36.787_174.622-pt_-33.9022_151.2004,pt_-36.787_174.622,"Whenuapai, New Zealand","(174.622, -36.787)",pt_-33.9022_151.2004,"Alexandria, Australia, Australia","(151.2004, -33.9022)",2147.516334229868,2000.33,88,89
pt_-36.787_174.622-pt_-36.787_174.772,pt_-36.787_174.622,"Whenuapai, New Zealand","(174.622, -36.787)",pt_-36.787_174.772,"Takapuna, New Zealand","(174.772, -36.787)",13.388899947577682,2000.33,88,90
pt_-36.787_174.772-grid_-29.9_161.5,pt_-36.787_174.772,"Takapuna, New Zealand","(174.772, -36.787)",grid_-29.9_161.5,grid_-29.9_161.5,"(161.5, -29.9)",1450.370369078003,2000.33,90,91
