Node ID,Name,Longitude,Latitude,Hop_ID,system_ID,Country
grid_-28.924058_162.963913,grid_-28.924058_162.963913,162.9639132248644,-28.92405785,106,2000.33,grid_-28.924058_162.963913
grid_-29.424684_162.212975,grid_-29.424684_162.212975,162.21297455152273,-29.42468363,107,2000.33,grid_-29.424684_162.212975
pt_51.2258_2.9194,"Ostende, Belgium",2.9194,51.2258,108,2000.35,Belgium
pt_51.3589_1.4394,"Broadstairs, Great Britain",1.4394,51.3589,109,2000.35,United Kingdom
pt_52.1833_-6.5544,"Ballygrangans, Ireland",-6.5544,52.1833,110,2000.36,Ireland
grid_52.0_-5.8,grid_52.0_-5.8,-5.8,52,111,2000.36,grid_52.0_-5.8
pt_51.8909_-5.2931,"Whitesands Bay, Great Britain",-5.2931,51.8909,112,2000.36,United Kingdom
pt_50.824_-4.542,"Crooklets, Great Britain",-4.542,50.824,113,2000.36,United Kingdom
pt_52.4036_-6.3572,"Ballinesker, Ireland",-6.3572,52.4036,114,2000.36,Ireland
pt_26.011201_-80.14949,"Hollywood, United States",-80.1494901,26.0112014,115,2000.3,United States
pt_18.453889_-66.0825,"Miramar, Puerto Rico",-66.0825,18.453889,116,2000.3,Puerto Rico
pt_17.732_-64.748,"St Croix, US Virgin Islands , nan",-64.748,17.732,117,2000.3,United States Virgin Islands
pt_-3.7275_-38.5275,"Fortaleza, Brazil",-38.5275,-3.7275,118,2000.3,Brazil
grid_8.2_-50.1,grid_8.2_-50.1,-50.1,8.2,119,2000.3,grid_8.2_-50.1
grid_14.0_-58.8,grid_14.0_-58.8,-58.8,14,120,2000.3,grid_14.0_-58.8
grid_15.0_-60.3,grid_15.0_-60.3,-60.3,15,121,2000.3,grid_15.0_-60.3
grid_16.6_-62.6,grid_16.6_-62.6,-62.6,16.6,122,2000.3,grid_16.6_-62.6
pt_14.6153_-61.0019,"Le Lamentin, Martinique, nan",-61.0019,14.6153,123,2000.3,Martinique
pt_10.6833_-61.6333,"Chaguaramas, nan",-61.6333,10.6833,124,2000.3,Trinidad and Tobago
pt_4.9386_-52.335,"Cayenne, nan",-52.335,4.9386,125,2000.3,French Guiana
pt_10.620656_-66.715195,"Camuri, Venezuela",-66.7151951,10.6206563,126,2000.3,Venezuela
grid_11.2_-66.5,grid_11.2_-66.5,-66.5,11.2,127,2000.3,grid_11.2_-66.5
pt_12.108_-68.935,"Willemstad , nan",-68.935,12.108,128,2000.3,Curacao
pt_14.9177_-23.5092,"Praia, nan",-23.5092,14.9177,129,2000.5,Cape Verde
grid_-4.0_-28.5,grid_-4.0_-28.5,-28.5,-4,130,2000.5,grid_-4.0_-28.5
pt_-36.4833_-56.7,"Las Toninas, Argentina",-56.7,-36.4833,131,2000.5,Argentina
pt_14.916281_-23.50951,"Praia, nan",-23.5095095,14.9162811,132,2000.5,Cape Verde
grid_15.0_-23.4,grid_15.0_-23.4,-23.4,15,133,2000.5,grid_15.0_-23.4
grid_28.2_-17.0,grid_28.2_-17.0,-17,28.2,134,2000.5,grid_28.2_-17.0
pt_38.707751_-9.136592,"Lisbon, Portugal",-9.1365919,38.7077507,135,2000.5,Portugal
pt_14.7319_-17.4572,"Dakar, Senegal",-17.4572,14.7319,136,2000.5,Senegal
pt_-3.7275_-38.5275,"Fortaleza, Brazil",-38.5275,-3.7275,137,2000.5,Brazil
pt_28.0457_-16.5372,"El Medano, nan",-16.5372,28.0457,138,2000.5,Canary Islands
pt_60.1708_24.9375,"Helsinki, Finland",24.9375,60.1708,139,2000.6,Finland
pt_60.4667_26.9458,"Kotka, Finland",26.9458,60.4667,140,2000.6,Finland
pt_59.806618_28.494532,"Logi, Russia",28.494532,59.806618,141,2000.6,Russia
pt_43.2114_27.9111,"Varna, Bulgaria",27.9111,43.2114,142,2000.7,Bulgaria
grid_44.6_31.1,grid_44.6_31.1,31.1,44.6,143,2000.7,grid_44.6_31.1
pt_46.4775_30.7326,"Odessa, Ukraine",30.7326,46.4775,144,2000.7,Ukraine
pt_44.7167_37.7667,"Novorossijsk, Russia",37.7667,44.7167,145,2000.7,Russia
pt_26.011201_-80.14949,"Hollywood, United States",-80.1494901,26.0112014,146,2001.11,United States
pt_25.0781_-77.3386,"Nassau, nan",-77.3386,25.0781,147,2001.11,Bahamas
pt_11.5442_-72.9069,"Rio Hacha, Colombia",-72.9069,11.5442,148,2001.11,Colombia
pt_11.7167_-70.1833,"Punto Fijo, Venezuela",-70.1833,11.7167,149,2001.11,Venezuela
pt_10.4236_-75.5253,"Cartagena, Colombia",-75.5253,10.4236,150,2001.11,Colombia
pt_9.13_-77.93,"Ustupo, Panama",-77.93,9.13,151,2001.11,Panama
pt_9.443_-79.7545,"Maria Chiquita, Panama",-79.7545,9.443,152,2001.11,Panama
pt_10.0022_-83.084,"Puerto Limon, Costa Rica",-83.084,10.0022,153,2001.11,Costa Rica
